node_name,process_name,total_start,laststart,,total_fail,lastfail,,,,
fm57-c09b,ospl,1,2022-12-14 13:54:21.200911,,1,2022-12-14 15:49:27.389821,,,,
fm57-c09b,ospl,1,2022-12-14 19:57:10.315233,,1,2022-12-14 21:41:52.913630,,,,
fm57-c09b,ospl,3,2022-12-15 03:17:32.379090,,2,2022-12-15 03:24:22.813786,,,,
fm57-c09b,spliced,1,2022-12-12 20:51:36.152550,,1,2022-12-12 22:42:01.315797,,,,
fm57-c09b,spliced,1,2022-12-12 23:38:34.859964,,1,2022-12-13 04:16:42.307031,,,,
fm57-c09b,spliced,1,2022-12-13 17:56:58.121310,,1,2022-12-13 18:55:54.611878,,,,
fm57-c09b,spliced,1,2022-12-14 13:54:21.235446,,1,2022-12-14 15:49:26.282765,,,,
fm57-c09b,spliced,1,2022-12-14 19:57:10.354361,,1,2022-12-14 21:41:52.903066,,,,
fm57-c09b,spliced,3,2022-12-15 03:17:32.425224,,2,2022-12-15 03:24:22.836595,,,,
fm57-t01,durability,1,2022-12-13 08:33:47.462706,,1,2022-12-13 10:32:39.449784,,,,
