node_name,process_name,total_start,firststart,laststart,total_fail,firstfail,lastfail,,,,,
fm57-c01a,Rms-node-run,3,2022-12-12 14:07:50.118608,2022-12-12 16:31:11.718743,1,2022-12-12 16:31:11.766702,2022-12-12 16:31:11.766702,5.55075530428439E-07,,0,2022-12-12 16:39:71,#¡VALOR!
fm57-c01b,Rms-node-run,2,2022-12-12 16:33:38.829340,2022-12-12 16:33:40.052150,1,2022-12-12 16:33:40.226980,2022-12-12 16:33:40.226980,2.02349474420771E-06,,0,2022-12-12 16:39:72,#¡VALOR!
fm57-c02a,Rms-node-run,2,2022-12-12 16:31:05.590518,2022-12-12 16:31:06.714988,1,2022-12-12 16:31:06.749273,2022-12-12 16:31:06.749273,3.96816176362336E-07,,0,2022-12-12 16:39:73,#¡VALOR!
fm57-c03a,Rms-node-run,2,2022-12-12 16:31:23.416132,2022-12-12 16:31:24.549693,1,2022-12-12 16:31:24.575711,2022-12-12 16:31:24.575711,3.01137333735824E-07,,0,2022-12-12 16:39:74,#¡VALOR!
fm57-c03b,Rms-node-run,2,2022-12-12 16:31:22.958034,2022-12-12 16:31:24.054784,1,2022-12-12 16:31:24.119571,2022-12-12 16:31:24.119571,7.4985291576013E-07,,0,2022-12-12 16:39:75,#¡VALOR!
fm57-c06a,Rms-node-run,3,2022-12-12 14:07:52.277428,2022-12-12 16:31:29.228704,1,2022-12-12 16:31:29.259451,2022-12-12 16:31:29.259451,3.55867086909711E-07,,0,2022-12-12 16:39:76,#¡VALOR!
fm57-c07a,Rms-node-run,3,2022-12-12 14:07:58.898512,2022-12-12 16:31:36.002766,1,2022-12-12 16:31:36.044223,2022-12-12 16:31:36.044223,4.79827576782554E-07,,0,2022-12-12 16:39:77,#¡VALOR!
fm57-c07b,Rms-node-run,3,2022-12-12 14:08:01.368148,2022-12-12 16:31:19.163894,1,2022-12-12 16:31:19.175194,2022-12-12 16:31:19.175194,1.30785338114947E-07,,0,2022-12-12 16:39:78,#¡VALOR!
fm57-c08a,Rms-node-run,3,2022-12-12 14:07:42.976724,2022-12-12 16:31:28.326686,1,2022-12-12 16:31:28.355744,2022-12-12 16:31:28.355744,3.363165888004E-07,,0,2022-12-12 16:39:79,#¡VALOR!
fm57-c09a,Rms-node-run,3,2022-12-12 14:07:49.550172,2022-12-12 16:31:26.651584,1,2022-12-12 16:31:26.674203,2022-12-12 16:31:26.674203,2.61796230915934E-07,,0,2022-12-12 16:39:80,#¡VALOR!
fm57-t01,Rms-node-run,3,2022-12-12 14:08:01.503284,2022-12-12 16:31:19.771283,1,2022-12-12 16:31:19.804142,2022-12-12 16:31:19.804142,3.80307028535753E-07,,0,2022-12-12 16:39:81,#¡VALOR!
